#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<h1 align="center">Jury</h1>  <p align="center"> <a href="https://pypi.org/project/jury"><img src="https://img.shields.io/pypi/pyversions/jury" alt="Python versions"></a> <a href="https://pepy.tech/project/jury"><img src="https://pepy.tech/badge/jury" alt="downloads"></a> <a href="https://pypi.org/project/jury"><img src="https://img.shields.io/pypi/v/jury?
1-1	0-1	<	*[523]|*[775]	SOFTWARE[523]|SOFTWARE[775]
2-339	1321-1322	/	*[775]	SOFTWARE[775]
2-340	1322-1330	10.48550	*[775]	SOFTWARE[775]
2-341	1330-1331	/	*[775]	SOFTWARE[775]
2-342	1331-1336	arXiv	*[775]	SOFTWARE[775]
2-343	1336-1347	.2310.02040	*[775]	SOFTWARE[775]
2-344	1347-1348	"	*[775]	SOFTWARE[775]
2-345	1348-1349	>	*[775]	SOFTWARE[775]
2-346	1349-1350	<	*[775]	SOFTWARE[775]
2-347	1350-1353	img	*[775]	SOFTWARE[775]
2-348	1354-1357	src	*[775]	SOFTWARE[775]
2-349	1357-1358	=	*[775]	SOFTWARE[775]
2-350	1358-1359	"	*[775]	SOFTWARE[775]
2-351	1359-1364	https	*[775]	SOFTWARE[775]
2-352	1364-1365	:	*[775]	SOFTWARE[775]
2-353	1365-1366	/	*[775]	SOFTWARE[775]
2-354	1366-1367	/	*[775]	SOFTWARE[775]
2-355	1367-1381	img.shields.io	*[775]	SOFTWARE[775]
2-356	1381-1382	/	*[775]	SOFTWARE[775]
2-357	1382-1387	badge	*[775]	SOFTWARE[775]
2-358	1387-1388	/	*[775]	SOFTWARE[775]
2-359	1388-1391	DOI	*[775]	SOFTWARE[775]
2-360	1391-1392	-	*[775]	SOFTWARE[775]
2-361	1392-1401	10.48550%	*[775]	SOFTWARE[775]
2-362	1401-1408	2FarXiv	*[775]	SOFTWARE[775]
2-363	1408-1419	.2310.02040	*[775]	SOFTWARE[775]
2-364	1419-1420	-	*[775]	SOFTWARE[775]
2-365	1420-1424	blue	*[775]	SOFTWARE[775]
2-366	1424-1425	"	*[775]	SOFTWARE[775]
2-367	1426-1429	alt	*[775]	SOFTWARE[775]
2-368	1429-1430	=	*[775]	SOFTWARE[775]
2-369	1430-1431	"	*[775]	SOFTWARE[775]
2-370	1431-1434	DOI	*[775]	SOFTWARE[775]
2-371	1434-1435	"	*[775]	SOFTWARE[775]
2-372	1435-1436	>	*[775]	SOFTWARE[775]
2-373	1436-1437	<	*[775]	SOFTWARE[775]
2-374	1437-1438	/	*[775]	SOFTWARE[775]
2-375	1438-1439	a	*[775]	SOFTWARE[775]
2-376	1439-1440	>	*[775]	SOFTWARE[775]
2-377	1441-1442	<	*[775]	SOFTWARE[775]
2-378	1442-1443	/	*[775]	SOFTWARE[775]
2-379	1443-1444	p	*[775]	SOFTWARE[775]
2-380	1444-1445	>	*[775]	SOFTWARE[775]
2-381	1447-1448	A	*[775]	SOFTWARE[775]
2-382	1449-1462	comprehensive	*[775]	SOFTWARE[775]
2-383	1463-1470	toolkit	*[775]	SOFTWARE[775]
2-384	1471-1474	for	*[775]	SOFTWARE[775]
2-385	1475-1485	evaluating	*[775]	SOFTWARE[775]
2-386	1486-1489	NLP	*[775]	SOFTWARE[775]
2-387	1490-1501	experiments	*[775]	SOFTWARE[775]
2-388	1502-1510	offering	*[775]	SOFTWARE[775]
2-389	1511-1518	various	*[775]	SOFTWARE[775]
2-390	1519-1528	automated	*[775]	SOFTWARE[775]
2-391	1529-1536	metrics	*[775]	SOFTWARE[775]
2-392	1536-1537	.	*[775]	SOFTWARE[775]

#Text=Jury offers a smooth and easy-to-use interface.
3-1	1538-1542	Jury	*[775]	SOFTWARE[775]
3-2	1543-1549	offers	*[775]	SOFTWARE[775]
3-3	1550-1551	a	*[775]	SOFTWARE[775]
3-4	1552-1558	smooth	*[775]	SOFTWARE[775]
3-5	1559-1562	and	*[775]	SOFTWARE[775]
3-6	1563-1574	easy-to-use	*[775]	SOFTWARE[775]
3-7	1575-1584	interface	*[775]	SOFTWARE[775]
3-8	1584-1585	.	*[775]	SOFTWARE[775]

#Text=It uses a more advanced version of \[evaluate\](https://github.com/huggingface/evaluate/) design for underlying metric computation, so that adding custom metric is easy as extending proper class.
4-1	1586-1588	It	*[775]	SOFTWARE[775]
4-2	1589-1593	uses	*[775]	SOFTWARE[775]
4-3	1594-1595	a	*[775]	SOFTWARE[775]
4-4	1596-1600	more	*[775]	SOFTWARE[775]
4-5	1601-1609	advanced	*[775]	SOFTWARE[775]
4-6	1610-1617	version	*[775]	SOFTWARE[775]
4-7	1618-1620	of	*[775]	SOFTWARE[775]
4-8	1621-1622	\[	*[775]	SOFTWARE[775]
4-9	1622-1630	evaluate	*[775]	SOFTWARE[775]
4-10	1630-1631	\]	*[775]	SOFTWARE[775]
4-11	1631-1632	(	*[775]	SOFTWARE[775]
4-12	1632-1637	https	*[775]	SOFTWARE[775]
4-13	1637-1638	:	*[775]	SOFTWARE[775]
4-14	1638-1639	/	*[775]	SOFTWARE[775]
4-15	1639-1640	/	*[775]	SOFTWARE[775]
4-16	1640-1650	github.com	*[775]	SOFTWARE[775]
4-17	1650-1651	/	*[775]	SOFTWARE[775]
4-18	1651-1662	huggingface	*[775]	SOFTWARE[775]
4-19	1662-1663	/	*[775]	SOFTWARE[775]
4-20	1663-1671	evaluate	*[775]	SOFTWARE[775]
4-21	1671-1672	/	*[775]	SOFTWARE[775]
4-22	1672-1673	)	*[775]	SOFTWARE[775]
4-23	1674-1680	design	*[775]	SOFTWARE[775]
4-24	1681-1684	for	*[775]	SOFTWARE[775]
4-25	1685-1695	underlying	*[775]	SOFTWARE[775]
4-26	1696-1702	metric	*[775]	SOFTWARE[775]
4-27	1703-1714	computation	*[775]	SOFTWARE[775]
4-28	1714-1715	,	*[775]	SOFTWARE[775]
4-29	1716-1718	so	*[775]	SOFTWARE[775]
4-30	1719-1723	that	*[775]	SOFTWARE[775]
4-31	1724-1730	adding	*[775]	SOFTWARE[775]
4-32	1731-1737	custom	*[775]	SOFTWARE[775]
4-33	1738-1744	metric	*[775]	SOFTWARE[775]
4-34	1745-1747	is	*[775]	SOFTWARE[775]
4-35	1748-1752	easy	*[775]	SOFTWARE[775]
4-36	1753-1755	as	*[775]	SOFTWARE[775]
4-37	1756-1765	extending	*[775]	SOFTWARE[775]
4-38	1766-1772	proper	*[775]	SOFTWARE[775]
4-39	1773-1778	class	*[775]	SOFTWARE[775]
4-40	1778-1779	.	*[775]	SOFTWARE[775]

#Text=Main advantages that Jury offers are:  - Easy to use for any NLP project. - Unified structure for computation input across all metrics. - Calculate many metrics at once. - Metrics calculations can be handled concurrently to save processing time. - It seamlessly supports evaluation for multiple predictions/multiple references.
5-1	1781-1785	Main	*[775]	SOFTWARE[775]
5-2	1786-1796	advantages	*[775]	SOFTWARE[775]
5-3	1797-1801	that	*[775]	SOFTWARE[775]
5-4	1802-1806	Jury	*[775]	SOFTWARE[775]
5-5	1807-1813	offers	*[775]	SOFTWARE[775]
5-6	1814-1817	are	*[775]	SOFTWARE[775]
5-7	1817-1818	:	*[775]	SOFTWARE[775]
5-8	1820-1821	-	*[775]	SOFTWARE[775]
5-9	1822-1826	Easy	*[775]	SOFTWARE[775]
5-10	1827-1829	to	*[775]	SOFTWARE[775]
5-11	1830-1833	use	*[775]	SOFTWARE[775]
5-12	1834-1837	for	*[775]	SOFTWARE[775]
5-13	1838-1841	any	*[775]	SOFTWARE[775]
5-14	1842-1845	NLP	*[775]	SOFTWARE[775]
5-15	1846-1853	project	*[775]	SOFTWARE[775]
5-16	1853-1854	.	*[775]	SOFTWARE[775]
5-17	1855-1856	-	*[775]	SOFTWARE[775]
5-18	1857-1864	Unified	*[775]	SOFTWARE[775]
5-19	1865-1874	structure	*[775]	SOFTWARE[775]
5-20	1875-1878	for	*[775]	SOFTWARE[775]
5-21	1879-1890	computation	*[775]	SOFTWARE[775]
5-22	1891-1896	input	*[775]	SOFTWARE[775]
5-23	1897-1903	across	*[775]	SOFTWARE[775]
5-24	1904-1907	all	*[775]	SOFTWARE[775]
5-25	1908-1915	metrics	*[775]	SOFTWARE[775]
5-26	1915-1916	.	*[775]	SOFTWARE[775]
5-27	1917-1918	-	*[775]	SOFTWARE[775]
5-28	1919-1928	Calculate	*[775]	SOFTWARE[775]
5-29	1929-1933	many	*[775]	SOFTWARE[775]
5-30	1934-1941	metrics	*[775]	SOFTWARE[775]
5-31	1942-1944	at	*[775]	SOFTWARE[775]
5-32	1945-1949	once	*[775]	SOFTWARE[775]
5-33	1949-1950	.	*[775]	SOFTWARE[775]
5-34	1951-1952	-	*[775]	SOFTWARE[775]
5-35	1953-1960	Metrics	*[775]	SOFTWARE[775]
5-36	1961-1973	calculations	*[775]	SOFTWARE[775]
5-37	1974-1977	can	*[775]	SOFTWARE[775]
5-38	1978-1980	be	*[775]	SOFTWARE[775]
5-39	1981-1988	handled	*[775]	SOFTWARE[775]
5-40	1989-2001	concurrently	*[775]	SOFTWARE[775]
5-41	2002-2004	to	*[775]	SOFTWARE[775]
5-42	2005-2009	save	*[775]	SOFTWARE[775]
5-43	2010-2020	processing	*[775]	SOFTWARE[775]
5-44	2021-2025	time	*[775]	SOFTWARE[775]
5-45	2025-2026	.	*[775]	SOFTWARE[775]
5-46	2027-2028	-	*[775]	SOFTWARE[775]
5-47	2029-2031	It	*[775]	SOFTWARE[775]
5-48	2032-2042	seamlessly	*[775]	SOFTWARE[775]
5-49	2043-2051	supports	*[775]	SOFTWARE[775]
5-50	2052-2062	evaluation	*[775]	SOFTWARE[775]
5-51	2063-2066	for	*[775]	SOFTWARE[775]
5-52	2067-2075	multiple	*[775]	SOFTWARE[775]
5-53	2076-2087	predictions	*[775]	SOFTWARE[775]
5-54	2087-2088	/	*[775]	SOFTWARE[775]
5-55	2088-2096	multiple	*[775]	SOFTWARE[775]
5-56	2097-2107	references	*[775]	SOFTWARE[775]
5-57	2107-2108	.	*[775]	SOFTWARE[775]

#Text=To see more, check the \[official Jury blog post\](https://medium.com/codable/jury-evaluating-performance-of-nlg-models-730eb9c9999f).  ## 🔥  News  \* (2024.05.29) \[Retraction Watch Post\](https://retractionwatch.com/2024/05/29/caught-by-a-reviewer-a-plagiarizing-deep-learning-paper-lingers/) regarding retraction of a paper has been posted.
6-1	2110-2112	To	*[775]	SOFTWARE[775]
6-2	2113-2116	see	*[775]	SOFTWARE[775]
6-3	2117-2121	more	*[775]	SOFTWARE[775]
6-4	2121-2122	,	*[775]	SOFTWARE[775]
6-5	2123-2128	check	*[775]	SOFTWARE[775]
6-6	2129-2132	the	*[775]	SOFTWARE[775]
6-7	2133-2134	\[	*[775]	SOFTWARE[775]
6-8	2134-2142	official	*[775]	SOFTWARE[775]
6-9	2143-2147	Jury	*[775]	SOFTWARE[775]
6-10	2148-2152	blog	*[775]	SOFTWARE[775]
6-11	2153-2157	post	*[775]	SOFTWARE[775]
6-12	2157-2158	\]	*[775]	SOFTWARE[775]
6-13	2158-2159	(	*[775]	SOFTWARE[775]
6-14	2159-2164	https	*[775]	SOFTWARE[775]
6-15	2164-2165	:	*[775]	SOFTWARE[775]
6-16	2165-2166	/	*[775]	SOFTWARE[775]
6-17	2166-2167	/	*[775]	SOFTWARE[775]
6-18	2167-2177	medium.com	*[775]	SOFTWARE[775]
6-19	2177-2178	/	*[775]	SOFTWARE[775]
6-20	2178-2185	codable	*[775]	SOFTWARE[775]
6-21	2185-2186	/	*[775]	SOFTWARE[775]
6-22	2186-2227	jury-evaluating-performance-of-nlg-models	*[775]	SOFTWARE[775]
6-23	2227-2228	-	*[775]	SOFTWARE[775]
6-24	2228-2240	730eb9c9999f	*[775]	SOFTWARE[775]
6-25	2240-2241	)	*[775]	SOFTWARE[775]
6-26	2241-2242	.	*[775]	SOFTWARE[775]
6-27	2244-2245	#	*[775]	SOFTWARE[775]
6-28	2245-2246	#	*[775]	SOFTWARE[775]
6-29	2247-2249	🔥	*[775]	SOFTWARE[775]
6-30	2250-2254	News	*[775]	SOFTWARE[775]
6-31	2256-2257	\*	*[775]	SOFTWARE[775]
6-32	2258-2259	(	*[775]	SOFTWARE[775]
6-33	2259-2269	2024.05.29	*[775]	SOFTWARE[775]
6-34	2269-2270	)	*[775]	SOFTWARE[775]
6-35	2271-2272	\[	*[775]	SOFTWARE[775]
6-36	2272-2282	Retraction	*[775]	SOFTWARE[775]
6-37	2283-2288	Watch	*[775]	SOFTWARE[775]
6-38	2289-2293	Post	*[775]	SOFTWARE[775]
6-39	2293-2294	\]	*[775]	SOFTWARE[775]
6-40	2294-2295	(	*[775]	SOFTWARE[775]
6-41	2295-2300	https	*[775]	SOFTWARE[775]
6-42	2300-2301	:	*[775]	SOFTWARE[775]
6-43	2301-2302	/	*[775]	SOFTWARE[775]
6-44	2302-2303	/	*[775]	SOFTWARE[775]
6-45	2303-2322	retractionwatch.com	*[775]	SOFTWARE[775]
6-46	2322-2323	/	*[775]	SOFTWARE[775]
6-47	2323-2327	2024	*[775]	SOFTWARE[775]
6-48	2327-2328	/	*[775]	SOFTWARE[775]
6-49	2328-2330	05	*[775]	SOFTWARE[775]
6-50	2330-2331	/	*[775]	SOFTWARE[775]
6-51	2331-2333	29	*[775]	SOFTWARE[775]
6-52	2333-2334	/	*[775]	SOFTWARE[775]
6-53	2334-2397	caught-by-a-reviewer-a-plagiarizing-deep-learning-paper-lingers	*[775]	SOFTWARE[775]
6-54	2397-2398	/	*[775]	SOFTWARE[775]
6-55	2398-2399	)	*[775]	SOFTWARE[775]
6-56	2400-2409	regarding	*[775]	SOFTWARE[775]
6-57	2410-2420	retraction	*[775]	SOFTWARE[775]
6-58	2421-2423	of	*[775]	SOFTWARE[775]
6-59	2424-2425	a	*[775]	SOFTWARE[775]
6-60	2426-2431	paper	*[775]	SOFTWARE[775]
6-61	2432-2435	has	*[775]	SOFTWARE[775]
6-62	2436-2440	been	*[775]	SOFTWARE[775]
6-63	2441-2447	posted	*[775]	SOFTWARE[775]
6-64	2447-2448	.	*[775]	SOFTWARE[775]

#Text=\[The plagiarised paper\](https://aclanthology.org/2022.coling-1.306.pdf) has been retracted. \* (2023.10.03) Jury paper is out currently is on \[arxiv\](https://arxiv.org/abs/2310.02040).
7-1	2449-2450	\[	*[775]	SOFTWARE[775]
7-2	2450-2453	The	*[775]	SOFTWARE[775]
7-3	2454-2465	plagiarised	*[775]	SOFTWARE[775]
7-4	2466-2471	paper	*[775]	SOFTWARE[775]
7-5	2471-2472	\]	*[775]	SOFTWARE[775]
7-6	2472-2473	(	*[775]	SOFTWARE[775]
7-7	2473-2478	https	*[775]	SOFTWARE[775]
7-8	2478-2479	:	*[775]	SOFTWARE[775]
7-9	2479-2480	/	*[775]	SOFTWARE[775]
7-10	2480-2481	/	*[775]	SOFTWARE[775]
7-11	2481-2497	aclanthology.org	*[775]	SOFTWARE[775]
7-12	2497-2498	/	*[775]	SOFTWARE[775]
7-13	2498-2502	2022	*[775]	SOFTWARE[775]
7-14	2502-2503	.	*[775]	SOFTWARE[775]
7-15	2503-2509	coling	*[775]	SOFTWARE[775]
7-16	2509-2510	-	*[775]	SOFTWARE[775]
7-17	2510-2515	1.306	*[775]	SOFTWARE[775]
7-18	2515-2516	.	*[775]	SOFTWARE[775]
7-19	2516-2519	pdf	*[775]	SOFTWARE[775]
7-20	2519-2520	)	*[775]	SOFTWARE[775]
7-21	2521-2524	has	*[775]	SOFTWARE[775]
7-22	2525-2529	been	*[775]	SOFTWARE[775]
7-23	2530-2539	retracted	*[775]	SOFTWARE[775]
7-24	2539-2540	.	*[775]	SOFTWARE[775]
7-25	2541-2542	\*	*[775]	SOFTWARE[775]
7-26	2543-2544	(	*[775]	SOFTWARE[775]
7-27	2544-2554	2023.10.03	*[775]	SOFTWARE[775]
7-28	2554-2555	)	*[775]	SOFTWARE[775]
7-29	2556-2560	Jury	*[775]	SOFTWARE[775]
7-30	2561-2566	paper	*[775]	SOFTWARE[775]
7-31	2567-2569	is	*[775]	SOFTWARE[775]
7-32	2570-2573	out	*[775]	SOFTWARE[775]
7-33	2574-2583	currently	*[775]	SOFTWARE[775]
7-34	2584-2586	is	*[775]	SOFTWARE[775]
7-35	2587-2589	on	*[775]	SOFTWARE[775]
7-36	2590-2591	\[	*[775]	SOFTWARE[775]
7-37	2591-2596	arxiv	*[775]	SOFTWARE[775]
7-38	2596-2597	\]	*[775]	SOFTWARE[775]
7-39	2597-2598	(	*[775]	SOFTWARE[775]
7-40	2598-2603	https	*[775]	SOFTWARE[775]
7-41	2603-2604	:	*[775]	SOFTWARE[775]
7-42	2604-2605	/	*[775]	SOFTWARE[775]
7-43	2605-2606	/	*[775]	SOFTWARE[775]
7-44	2606-2615	arxiv.org	*[775]	SOFTWARE[775]
7-45	2615-2616	/	*[775]	SOFTWARE[775]
7-46	2616-2619	abs	*[775]	SOFTWARE[775]
7-47	2619-2620	/	*[775]	SOFTWARE[775]
7-48	2620-2630	2310.02040	*[775]	SOFTWARE[775]
7-49	2630-2631	)	*[775]	SOFTWARE[775]
7-50	2631-2632	.	*[775]	SOFTWARE[775]

#Text=Please cite this paper if your work use Jury, and if your publication material will be submitted to the venues after this date
8-1	2633-2639	Please	*[775]	SOFTWARE[775]
8-2	2640-2644	cite	*[775]	SOFTWARE[775]
8-3	2645-2649	this	*[775]	SOFTWARE[775]
8-4	2650-2655	paper	*[775]	SOFTWARE[775]
8-5	2656-2658	if	*[775]	SOFTWARE[775]
8-6	2659-2663	your	*[775]	SOFTWARE[775]
8-7	2664-2668	work	*[775]	SOFTWARE[775]
8-8	2669-2672	use	*[775]	SOFTWARE[775]
8-9	2673-2677	Jury	*[775]	SOFTWARE[775]
8-10	2677-2678	,	*[775]	SOFTWARE[775]
8-11	2679-2682	and	*[775]	SOFTWARE[775]
8-12	2683-2685	if	*[775]	SOFTWARE[775]
8-13	2686-2690	your	*[775]	SOFTWARE[775]
8-14	2691-2702	publication	*[775]	SOFTWARE[775]
8-15	2703-2711	material	*[775]	SOFTWARE[775]
8-16	2712-2716	will	*[775]	SOFTWARE[775]
8-17	2717-2719	be	*[775]	SOFTWARE[775]
8-18	2720-2729	submitted	*[775]	SOFTWARE[775]
8-19	2730-2732	to	*[775]	SOFTWARE[775]
8-20	2733-2736	the	*[775]	SOFTWARE[775]
8-21	2737-2743	venues	*[775]	SOFTWARE[775]
8-22	2744-2749	after	*[775]	SOFTWARE[775]
8-23	2750-2754	this	*[775]	SOFTWARE[775]
8-24	2755-2759	date	*[775]	SOFTWARE[775]

#Text=.
9-1	2759-2760	.	*[775]	SOFTWARE[775]

#Text=\* (2023.07.30) \*\*Public notice:\*\* You can reach our official \[Public Notice\](https://docs.google.com/document/d/1mFFT0cR8BUHKJki8mAg6b36QhmsRxvKR3pwOlcxbnss/edit?
10-1	2763-2764	\*	*[775]	SOFTWARE[775]
10-2	2765-2766	(	*[775]	SOFTWARE[775]
10-3	2766-2776	2023.07.30	*[775]	SOFTWARE[775]
10-4	2776-2777	)	*[775]	SOFTWARE[775]
10-5	2778-2779	\*	*[775]	SOFTWARE[775]
10-6	2779-2780	\*	*[775]	SOFTWARE[775]
10-7	2780-2786	Public	*[775]	SOFTWARE[775]
10-8	2787-2793	notice	*[775]	SOFTWARE[775]
10-9	2793-2794	:	*[775]	SOFTWARE[775]
10-10	2794-2795	\*	*[775]	SOFTWARE[775]
10-11	2795-2796	\*	*[775]	SOFTWARE[775]
10-12	2797-2800	You	*[775]	SOFTWARE[775]
10-13	2801-2804	can	*[775]	SOFTWARE[775]
10-14	2805-2810	reach	*[775]	SOFTWARE[775]
10-15	2811-2814	our	*[775]	SOFTWARE[775]
10-16	2815-2823	official	*[775]	SOFTWARE[775]
10-17	2824-2825	\[	*[775]	SOFTWARE[775]
10-18	2825-2831	Public	*[775]	SOFTWARE[775]
10-19	2832-2838	Notice	*[775]	SOFTWARE[775]
10-20	2838-2839	\]	*[775]	SOFTWARE[775]
10-21	2839-2840	(	*[775]	SOFTWARE[775]
10-22	2840-2845	https	*[775]	SOFTWARE[775]
10-23	2845-2846	:	*[775]	SOFTWARE[775]
10-24	2846-2847	/	*[775]	SOFTWARE[775]
10-25	2847-2848	/	*[775]	SOFTWARE[775]
10-26	2848-2863	docs.google.com	*[775]	SOFTWARE[775]
10-27	2863-2864	/	*[775]	SOFTWARE[775]
10-28	2864-2872	document	*[775]	SOFTWARE[775]
10-29	2872-2873	/	*[775]	SOFTWARE[775]
10-30	2873-2874	d	*[775]	SOFTWARE[775]
10-31	2874-2875	/	*[775]	SOFTWARE[775]
10-32	2875-2919	1mFFT0cR8BUHKJki8mAg6b36QhmsRxvKR3pwOlcxbnss	*[775]	SOFTWARE[775]
10-33	2919-2920	/	*[775]	SOFTWARE[775]
10-34	2920-2924	edit	*[775]	SOFTWARE[775]
10-35	2924-2925	?	*[775]	SOFTWARE[775]

#Text=usp=sharing) document that poses a claim about plagiarism of the work, \*jury\*, presented in this codebase.  ## Available Metrics  The table below shows the current support status for available metrics
11-1	2925-2928	usp	*[775]	SOFTWARE[775]
11-2	2928-2929	=	*[775]	SOFTWARE[775]
11-3	2929-2936	sharing	*[775]	SOFTWARE[775]
11-4	2936-2937	)	*[775]	SOFTWARE[775]
11-5	2938-2946	document	*[775]	SOFTWARE[775]
11-6	2947-2951	that	*[775]	SOFTWARE[775]
11-7	2952-2957	poses	*[775]	SOFTWARE[775]
11-8	2958-2959	a	*[775]	SOFTWARE[775]
11-9	2960-2965	claim	*[775]	SOFTWARE[775]
11-10	2966-2971	about	*[775]	SOFTWARE[775]
11-11	2972-2982	plagiarism	*[775]	SOFTWARE[775]
11-12	2983-2985	of	*[775]	SOFTWARE[775]
11-13	2986-2989	the	*[775]	SOFTWARE[775]
11-14	2990-2994	work	*[775]	SOFTWARE[775]
11-15	2994-2995	,	*[775]	SOFTWARE[775]
11-16	2996-2997	\*	*[775]	SOFTWARE[775]
11-17	2997-3001	jury	*[775]	SOFTWARE[775]
11-18	3001-3002	\*	*[775]	SOFTWARE[775]
11-19	3002-3003	,	*[775]	SOFTWARE[775]
11-20	3004-3013	presented	*[775]	SOFTWARE[775]
11-21	3014-3016	in	*[775]	SOFTWARE[775]
11-22	3017-3021	this	*[775]	SOFTWARE[775]
11-23	3022-3030	codebase	*[775]	SOFTWARE[775]
11-24	3030-3031	.	*[775]	SOFTWARE[775]
11-25	3033-3034	#	*[775]	SOFTWARE[775]
11-26	3034-3035	#	*[775]	SOFTWARE[775]
11-27	3036-3045	Available	*[775]	SOFTWARE[775]
11-28	3046-3053	Metrics	*[775]	SOFTWARE[775]
11-29	3055-3058	The	*[775]	SOFTWARE[775]
11-30	3059-3064	table	*[775]	SOFTWARE[775]
11-31	3065-3070	below	*[775]	SOFTWARE[775]
11-32	3071-3076	shows	*[775]	SOFTWARE[775]
11-33	3077-3080	the	*[775]	SOFTWARE[775]
11-34	3081-3088	current	*[775]	SOFTWARE[775]
11-35	3089-3096	support	*[775]	SOFTWARE[775]
11-36	3097-3103	status	*[775]	SOFTWARE[775]
11-37	3104-3107	for	*[775]	SOFTWARE[775]
11-38	3108-3117	available	*[775]	SOFTWARE[775]
11-39	3118-3125	metrics	*[775]	SOFTWARE[775]

#Text=.
12-1	3125-3126	.	*[775]	SOFTWARE[775]

#Text=\| Metric                                                                        \| Jury Support       \| HF/evaluate Support \| \|-------------------------------------------------------------------------------\|--------------------\|---------------------\| \| Accuracy-Numeric                                                              \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| Accuracy-Text                                                                 \| :heavy\_check\_mark: \| :x:                 \| \| Bartscore                                                                     \| :heavy\_check\_mark: \| :x:                 \| \| Bertscore                                                                     \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| Bleu                                                                          \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| Bleurt                                                                        \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| CER                                                                           \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| CHRF                                                                          \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| COMET                                                                         \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| F1-Numeric                                                                    \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| F1-Text                                                                       \| :heavy\_check\_mark: \| :x:                 \| \| METEOR                                                                        \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| Precision-Numeric                                                             \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| Precision-Text                                                                \| :heavy\_check\_mark: \| :x:                 \| \| Prism                                                                         \| :heavy\_check\_mark: \| :x:                 \| \| Recall-Numeric                                                                \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| Recall-Text                                                                   \| :heavy\_check\_mark: \| :x:                 \| \| ROUGE                                                                         \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| SacreBleu                                                                     \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| Seqeval                                                                       \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| Squad                                                                         \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| TER                                                                           \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| WER                                                                           \| :heavy\_check\_mark: \| :white\_check\_mark:  \| \| \[Other metrics\](https://github.com/huggingface/evaluate/tree/master/metrics)\* \| :white\_check\_mark: \| :white\_check\_mark:  \|  \_\*\_ Placeholder for the rest of the metrics available in `evaluate` package apart from those which are present in the  table.
13-1	3128-3129	\|	*[775]	SOFTWARE[775]
13-2	3130-3136	Metric	*[775]	SOFTWARE[775]
13-3	3208-3209	\|	*[775]	SOFTWARE[775]
13-4	3210-3214	Jury	*[775]	SOFTWARE[775]
13-5	3215-3222	Support	*[775]	SOFTWARE[775]
13-6	3229-3230	\|	*[775]	SOFTWARE[775]
13-7	3231-3233	HF	*[775]	SOFTWARE[775]
13-8	3233-3234	/	*[775]	SOFTWARE[775]
13-9	3234-3242	evaluate	*[775]	SOFTWARE[775]
13-10	3243-3250	Support	*[775]	SOFTWARE[775]
13-11	3251-3252	\|	*[775]	SOFTWARE[775]
13-12	3253-3254	\|	*[775]	SOFTWARE[775]
13-13	3254-3255	-	*[775]	SOFTWARE[775]
13-14	3255-3256	-	*[775]	SOFTWARE[775]
13-15	3256-3257	-	*[775]	SOFTWARE[775]
13-16	3257-3258	-	*[775]	SOFTWARE[775]
13-17	3258-3259	-	*[775]	SOFTWARE[775]
13-18	3259-3260	-	*[775]	SOFTWARE[775]
13-19	3260-3261	-	*[775]	SOFTWARE[775]
13-20	3261-3262	-	*[775]	SOFTWARE[775]
13-21	3262-3263	-	*[775]	SOFTWARE[775]
13-22	3263-3264	-	*[775]	SOFTWARE[775]
13-23	3264-3265	-	*[775]	SOFTWARE[775]
13-24	3265-3266	-	*[775]	SOFTWARE[775]
13-25	3266-3267	-	*[775]	SOFTWARE[775]
13-26	3267-3268	-	*[775]	SOFTWARE[775]
13-27	3268-3269	-	*[775]	SOFTWARE[775]
13-28	3269-3270	-	*[775]	SOFTWARE[775]
13-29	3270-3271	-	*[775]	SOFTWARE[775]
13-30	3271-3272	-	*[775]	SOFTWARE[775]
13-31	3272-3273	-	*[775]	SOFTWARE[775]
13-32	3273-3274	-	*[775]	SOFTWARE[775]
13-33	3274-3275	-	*[775]	SOFTWARE[775]
13-34	3275-3276	-	*[775]	SOFTWARE[775]
13-35	3276-3277	-	*[775]	SOFTWARE[775]
13-36	3277-3278	-	*[775]	SOFTWARE[775]
13-37	3278-3279	-	*[775]	SOFTWARE[775]
13-38	3279-3280	-	*[775]	SOFTWARE[775]
13-39	3280-3281	-	*[775]	SOFTWARE[775]
13-40	3281-3282	-	*[775]	SOFTWARE[775]
