#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[523]|*[786]	SOFTWARE[523]|SOFTWARE[786]
10-136	1975-1976	`	*[786]	SOFTWARE[786]
10-137	1980-1981	-	*[786]	SOFTWARE[786]
10-138	1982-1983	"	*[786]	SOFTWARE[786]
10-139	1983-1992	test.cora	*[786]	SOFTWARE[786]
10-139	1988-1992	cora	*[786]	SOFTWARE[786]
10-140	1992-1993	"	*[786]	SOFTWARE[786]
10-141	1993-1994	:	*[786]	SOFTWARE[786]
10-142	1995-1999	each	*[786]	SOFTWARE[786]
10-143	2000-2004	line	*[786]	SOFTWARE[786]
10-144	2005-2015	represents	*[786]	SOFTWARE[786]
10-145	2016-2019	the	*[786]	SOFTWARE[786]
10-146	2020-2024	node	*[786]	SOFTWARE[786]
10-147	2025-2027	ID	*[786]	SOFTWARE[786]
10-148	2028-2030	in	*[786]	SOFTWARE[786]
10-149	2031-2035	test	*[786]	SOFTWARE[786]
10-150	2036-2039	set	*[786]	SOFTWARE[786]
10-151	2040-2044	with	*[786]	SOFTWARE[786]
10-152	2045-2048	the	*[786]	SOFTWARE[786]
10-153	2049-2058	following	*[786]	SOFTWARE[786]
10-154	2059-2065	format	*[786]	SOFTWARE[786]
10-155	2065-2066	:	*[786]	SOFTWARE[786]
10-156	2072-2073	`	*[786]	SOFTWARE[786]
10-157	2073-2074	`	*[786]	SOFTWARE[786]
10-158	2074-2075	`	*[786]	SOFTWARE[786]
10-159	2080-2084	2159	*[786]	SOFTWARE[786]
10-160	2089-2093	2160	*[786]	SOFTWARE[786]
10-161	2098-2099	.	*[786]	SOFTWARE[786]
10-162	2099-2100	.	*[786]	SOFTWARE[786]
10-163	2100-2101	.	*[786]	SOFTWARE[786]
10-164	2106-2107	`	*[786]	SOFTWARE[786]
10-165	2107-2108	`	*[786]	SOFTWARE[786]
10-166	2108-2109	`	*[786]	SOFTWARE[786]
10-167	2111-2112	#	*[786]	SOFTWARE[786]
10-168	2112-2113	#	*[786]	SOFTWARE[786]
10-169	2113-2114	#	*[786]	SOFTWARE[786]
10-170	2115-2116	\*	*[786]	SOFTWARE[786]
10-171	2116-2123	Example	*[786]	SOFTWARE[786]
10-172	2124-2129	Usage	*[786]	SOFTWARE[786]
10-173	2129-2130	\*	*[786]	SOFTWARE[786]
10-174	2132-2133	`	*[786]	SOFTWARE[786]
10-175	2133-2134	`	*[786]	SOFTWARE[786]
10-176	2134-2135	`	*[786]	SOFTWARE[786]
10-177	2136-2138	cd	*[786]	SOFTWARE[786]
10-178	2139-2145	ImGAGN	*[786]	SOFTWARE[786]
10-179	2146-2152	python	*[786]	SOFTWARE[786]
10-180	2153-2161	train.py	*[786]	SOFTWARE[786]
10-181	2162-2163	`	*[786]	SOFTWARE[786]
10-182	2163-2164	`	*[786]	SOFTWARE[786]
10-183	2164-2165	`	*[786]	SOFTWARE[786]
10-184	2167-2168	#	*[786]	SOFTWARE[786]
10-185	2168-2169	#	*[786]	SOFTWARE[786]
10-186	2170-2178	Citation	*[786]	SOFTWARE[786]
10-187	2180-2181	`	*[786]	SOFTWARE[786]
10-188	2181-2182	`	*[786]	SOFTWARE[786]
10-189	2182-2183	`	*[786]	SOFTWARE[786]
10-190	2184-2185	@	*[786]	SOFTWARE[786]
10-191	2185-2189	misc	*[786]	SOFTWARE[786]
10-192	2189-2190	{	*[786]	SOFTWARE[786]
10-193	2190-2212	qu2021imgagnimbalanced	*[786]	SOFTWARE[786]
10-194	2212-2213	,	*[786]	SOFTWARE[786]
10-195	2220-2225	title	*[786]	SOFTWARE[786]
10-196	2225-2226	=	*[786]	SOFTWARE[786]
10-197	2226-2227	{	*[786]	SOFTWARE[786]
10-198	2227-2233	ImGAGN	*[786]	SOFTWARE[786]
10-199	2233-2234	:	*[786]	SOFTWARE[786]
10-200	2234-2244	Imbalanced	*[786]	SOFTWARE[786]
10-201	2245-2252	Network	*[786]	SOFTWARE[786]
10-202	2253-2262	Embedding	*[786]	SOFTWARE[786]
10-203	2263-2266	via	*[786]	SOFTWARE[786]
10-204	2267-2277	Generative	*[786]	SOFTWARE[786]
10-205	2278-2289	Adversarial	*[786]	SOFTWARE[786]
10-206	2290-2295	Graph	*[786]	SOFTWARE[786]
10-207	2296-2304	Networks	*[786]	SOFTWARE[786]
10-208	2304-2305	}	*[786]	SOFTWARE[786]
10-209	2305-2306	,	*[786]	SOFTWARE[786]
10-210	2314-2320	author	*[786]	SOFTWARE[786]
10-211	2320-2321	=	*[786]	SOFTWARE[786]
10-212	2321-2322	{	*[786]	SOFTWARE[786]
10-213	2322-2327	Liang	*[786]	SOFTWARE[786]
10-214	2328-2330	Qu	*[786]	SOFTWARE[786]
10-215	2331-2334	and	*[786]	SOFTWARE[786]
10-216	2335-2344	Huaisheng	*[786]	SOFTWARE[786]
10-217	2345-2348	Zhu	*[786]	SOFTWARE[786]
10-218	2349-2352	and	*[786]	SOFTWARE[786]
10-219	2353-2358	Ruiqi	*[786]	SOFTWARE[786]
10-220	2359-2364	Zheng	*[786]	SOFTWARE[786]
10-221	2365-2368	and	*[786]	SOFTWARE[786]
10-222	2369-2374	Yuhui	*[786]	SOFTWARE[786]
10-223	2375-2378	Shi	*[786]	SOFTWARE[786]
10-224	2379-2382	and	*[786]	SOFTWARE[786]
10-225	2383-2390	Hongzhi	*[786]	SOFTWARE[786]
10-226	2391-2394	Yin	*[786]	SOFTWARE[786]
10-227	2394-2395	}	*[786]	SOFTWARE[786]
10-228	2395-2396	,	*[786]	SOFTWARE[786]
10-229	2403-2407	year	*[786]	SOFTWARE[786]
10-230	2407-2408	=	*[786]	SOFTWARE[786]
10-231	2408-2409	{	*[786]	SOFTWARE[786]
10-232	2409-2413	2021	*[786]	SOFTWARE[786]
10-233	2413-2414	}	*[786]	SOFTWARE[786]
10-234	2414-2415	,	*[786]	SOFTWARE[786]
10-235	2422-2428	eprint	*[786]	SOFTWARE[786]
10-236	2428-2429	=	*[786]	SOFTWARE[786]
10-237	2429-2430	{	*[786]	SOFTWARE[786]
10-238	2430-2440	2106.02817	*[786]	SOFTWARE[786]
10-239	2440-2441	}	*[786]	SOFTWARE[786]
10-240	2441-2442	,	*[786]	SOFTWARE[786]
10-241	2449-2462	archivePrefix	*[786]	SOFTWARE[786]
10-242	2462-2463	=	*[786]	SOFTWARE[786]
10-243	2463-2464	{	*[786]	SOFTWARE[786]
10-244	2464-2469	arXiv	*[786]	SOFTWARE[786]
10-245	2469-2470	}	*[786]	SOFTWARE[786]
10-246	2470-2471	,	*[786]	SOFTWARE[786]
10-247	2478-2490	primaryClass	*[786]	SOFTWARE[786]
10-248	2490-2491	=	*[786]	SOFTWARE[786]
10-249	2491-2492	{	*[786]	SOFTWARE[786]
10-250	2492-2497	cs.LG	*[786]	SOFTWARE[786]
10-251	2497-2498	}	*[786]	SOFTWARE[786]
10-252	2499-2500	}	*[786]	SOFTWARE[786]
10-253	2501-2502	`	*[786]	SOFTWARE[786]
10-254	2502-2503	`	*[786]	SOFTWARE[786]
10-255	2503-2504	`	*[786]	SOFTWARE[786]
