#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<img src="docs/img/icon.png" width=125 height=125 align="right">  \[!
1-1	0-1	<	*[523]|*[776]	SOFTWARE[523]|SOFTWARE[776]
14-22	2135-2146	information	*[776]	SOFTWARE[776]
14-23	2147-2156	retrieval	*[776]	SOFTWARE[776]
14-24	2156-2157	.	*[776]	SOFTWARE[776]
14-25	2159-2160	#	*[776]	SOFTWARE[776]
14-26	2160-2161	#	*[776]	SOFTWARE[776]
14-27	2162-2175	Documentation	*[776]	SOFTWARE[776]
14-28	2177-2185	Detailed	*[776]	SOFTWARE[776]
14-29	2186-2199	documentation	*[776]	SOFTWARE[776]
14-30	2200-2202	on	*[776]	SOFTWARE[776]
14-31	2203-2206	the	*[776]	SOFTWARE[776]
14-32	2207-2214	dataset	*[776]	SOFTWARE[776]
14-33	2215-2218	and	*[776]	SOFTWARE[776]
14-34	2219-2222	how	*[776]	SOFTWARE[776]
14-35	2223-2225	to	*[776]	SOFTWARE[776]
14-36	2226-2235	reproduce	*[776]	SOFTWARE[776]
14-37	2236-2239	the	*[776]	SOFTWARE[776]
14-38	2240-2244	main	*[776]	SOFTWARE[776]
14-39	2245-2257	experimental	*[776]	SOFTWARE[776]
14-40	2258-2265	results	*[776]	SOFTWARE[776]
14-41	2266-2269	can	*[776]	SOFTWARE[776]
14-42	2270-2272	be	*[776]	SOFTWARE[776]
14-43	2273-2278	found	*[776]	SOFTWARE[776]
14-44	2279-2280	\[	*[776]	SOFTWARE[776]
14-45	2280-2284	here	*[776]	SOFTWARE[776]
14-46	2284-2285	\]	*[776]	SOFTWARE[776]
14-47	2285-2286	(	*[776]	SOFTWARE[776]
14-48	2286-2290	docs	*[776]	SOFTWARE[776]
14-49	2290-2291	/	*[776]	SOFTWARE[776]
14-50	2291-2300	README.md	*[776]	SOFTWARE[776]
14-51	2300-2301	)	*[776]	SOFTWARE[776]
14-52	2301-2302	.	*[776]	SOFTWARE[776]
14-53	2304-2305	#	*[776]	SOFTWARE[776]
14-54	2305-2306	#	*[776]	SOFTWARE[776]
14-55	2307-2315	Citation	*[776]	SOFTWARE[776]
14-56	2317-2320	For	*[776]	SOFTWARE[776]
14-57	2321-2332	attribution	*[776]	SOFTWARE[776]
14-58	2333-2335	in	*[776]	SOFTWARE[776]
14-59	2336-2344	academic	*[776]	SOFTWARE[776]
14-60	2345-2353	contexts	*[776]	SOFTWARE[776]
14-61	2353-2354	,	*[776]	SOFTWARE[776]
14-62	2355-2361	please	*[776]	SOFTWARE[776]
14-63	2362-2366	cite	*[776]	SOFTWARE[776]
14-64	2367-2371	this	*[776]	SOFTWARE[776]
14-65	2372-2376	work	*[776]	SOFTWARE[776]
14-66	2377-2379	as	*[776]	SOFTWARE[776]
14-67	2379-2380	:	*[776]	SOFTWARE[776]
14-68	2382-2383	`	*[776]	SOFTWARE[776]
14-69	2383-2384	`	*[776]	SOFTWARE[776]
14-70	2384-2385	`	*[776]	SOFTWARE[776]
14-71	2385-2390	latex	*[776]	SOFTWARE[776]
14-72	2391-2392	@	*[776]	SOFTWARE[776]
14-73	2392-2405	inproceedings	*[776]	SOFTWARE[776]
14-74	2405-2406	{	*[776]	SOFTWARE[776]
14-75	2406-2424	louis2022statutory	*[776]	SOFTWARE[776]
14-76	2424-2425	,	*[776]	SOFTWARE[776]
14-77	2428-2433	title	*[776]	SOFTWARE[776]
14-78	2434-2435	=	*[776]	SOFTWARE[776]
14-79	2436-2437	{	*[776]	SOFTWARE[776]
14-80	2437-2438	A	*[776]	SOFTWARE[776]
14-81	2439-2448	Statutory	*[776]	SOFTWARE[776]
14-82	2449-2456	Article	*[776]	SOFTWARE[776]
14-83	2457-2466	Retrieval	*[776]	SOFTWARE[776]
14-84	2467-2474	Dataset	*[776]	SOFTWARE[776]
14-85	2475-2477	in	*[776]	SOFTWARE[776]
14-86	2478-2484	French	*[776]	SOFTWARE[776]
14-87	2484-2485	}	*[776]	SOFTWARE[776]
14-88	2485-2486	,	*[776]	SOFTWARE[776]
14-89	2489-2495	author	*[776]	SOFTWARE[776]
14-90	2496-2497	=	*[776]	SOFTWARE[776]
14-91	2498-2499	{	*[776]	SOFTWARE[776]
14-92	2499-2504	Louis	*[776]	SOFTWARE[776]
14-93	2504-2505	,	*[776]	SOFTWARE[776]
14-94	2506-2513	Antoine	*[776]	SOFTWARE[776]
14-95	2514-2517	and	*[776]	SOFTWARE[776]
14-96	2518-2526	Spanakis	*[776]	SOFTWARE[776]
14-97	2526-2527	,	*[776]	SOFTWARE[776]
14-98	2528-2537	Gerasimos	*[776]	SOFTWARE[776]
14-99	2537-2538	}	*[776]	SOFTWARE[776]
14-100	2538-2539	,	*[776]	SOFTWARE[776]
14-101	2542-2551	booktitle	*[776]	SOFTWARE[776]
14-102	2552-2553	=	*[776]	SOFTWARE[776]
14-103	2554-2555	{	*[776]	SOFTWARE[776]
14-104	2555-2566	Proceedings	*[776]	SOFTWARE[776]
14-105	2567-2569	of	*[776]	SOFTWARE[776]
14-106	2570-2573	the	*[776]	SOFTWARE[776]
14-107	2574-2578	60th	*[776]	SOFTWARE[776]
14-108	2579-2585	Annual	*[776]	SOFTWARE[776]
14-109	2586-2593	Meeting	*[776]	SOFTWARE[776]
14-110	2594-2596	of	*[776]	SOFTWARE[776]
14-111	2597-2600	the	*[776]	SOFTWARE[776]
14-112	2601-2612	Association	*[776]	SOFTWARE[776]
14-113	2613-2616	for	*[776]	SOFTWARE[776]
14-114	2617-2630	Computational	*[776]	SOFTWARE[776]
14-115	2631-2642	Linguistics	*[776]	SOFTWARE[776]
14-116	2642-2643	}	*[776]	SOFTWARE[776]
14-117	2643-2644	,	*[776]	SOFTWARE[776]
14-118	2647-2652	month	*[776]	SOFTWARE[776]
14-119	2653-2654	=	*[776]	SOFTWARE[776]
14-120	2655-2658	may	*[776]	SOFTWARE[776]
14-121	2658-2659	,	*[776]	SOFTWARE[776]
14-122	2662-2666	year	*[776]	SOFTWARE[776]
14-123	2667-2668	=	*[776]	SOFTWARE[776]
14-124	2669-2670	{	*[776]	SOFTWARE[776]
14-125	2670-2674	2022	*[776]	SOFTWARE[776]
14-126	2674-2675	}	*[776]	SOFTWARE[776]
14-127	2675-2676	,	*[776]	SOFTWARE[776]
14-128	2679-2686	address	*[776]	SOFTWARE[776]
14-129	2687-2688	=	*[776]	SOFTWARE[776]
14-130	2689-2690	{	*[776]	SOFTWARE[776]
14-131	2690-2696	Dublin	*[776]	SOFTWARE[776]
14-132	2696-2697	,	*[776]	SOFTWARE[776]
14-133	2698-2705	Ireland	*[776]	SOFTWARE[776]
14-134	2705-2706	}	*[776]	SOFTWARE[776]
14-135	2706-2707	,	*[776]	SOFTWARE[776]
14-136	2710-2719	publisher	*[776]	SOFTWARE[776]
14-137	2720-2721	=	*[776]	SOFTWARE[776]
14-138	2722-2723	{	*[776]	SOFTWARE[776]
14-139	2723-2734	Association	*[776]	SOFTWARE[776]
14-140	2735-2738	for	*[776]	SOFTWARE[776]
14-141	2739-2752	Computational	*[776]	SOFTWARE[776]
14-142	2753-2764	Linguistics	*[776]	SOFTWARE[776]
14-143	2764-2765	}	*[776]	SOFTWARE[776]
14-144	2765-2766	,	*[776]	SOFTWARE[776]
14-145	2769-2772	url	*[776]	SOFTWARE[776]
14-146	2773-2774	=	*[776]	SOFTWARE[776]
14-147	2775-2776	{	*[776]	SOFTWARE[776]
14-148	2776-2781	https	*[776]	SOFTWARE[776]
14-149	2781-2782	:	*[776]	SOFTWARE[776]
14-150	2782-2783	/	*[776]	SOFTWARE[776]
14-151	2783-2784	/	*[776]	SOFTWARE[776]
14-152	2784-2800	aclanthology.org	*[776]	SOFTWARE[776]
14-153	2800-2801	/	*[776]	SOFTWARE[776]
14-154	2801-2805	2022	*[776]	SOFTWARE[776]
14-155	2805-2806	.	*[776]	SOFTWARE[776]
14-156	2806-2814	acl-long	*[776]	SOFTWARE[776]
14-157	2814-2818	.468	*[776]	SOFTWARE[776]
14-158	2818-2819	}	*[776]	SOFTWARE[776]
14-159	2819-2820	,	*[776]	SOFTWARE[776]
14-160	2823-2828	pages	*[776]	SOFTWARE[776]
14-161	2829-2830	=	*[776]	SOFTWARE[776]
14-162	2831-2832	{	*[776]	SOFTWARE[776]
14-163	2832-2836	6789	*[776]	SOFTWARE[776]
14-164	2836-2837	-	*[776]	SOFTWARE[776]
14-165	2837-2838	-	*[776]	SOFTWARE[776]
14-166	2838-2842	6803	*[776]	SOFTWARE[776]
14-167	2842-2843	}	*[776]	SOFTWARE[776]
14-168	2843-2844	,	*[776]	SOFTWARE[776]
14-169	2845-2846	}	*[776]	SOFTWARE[776]
14-170	2847-2848	`	*[776]	SOFTWARE[776]
14-171	2848-2849	`	*[776]	SOFTWARE[776]
14-172	2849-2850	`	*[776]	SOFTWARE[776]
14-173	2852-2853	#	*[776]	SOFTWARE[776]
14-174	2853-2854	#	*[776]	SOFTWARE[776]
14-175	2855-2862	License	*[776]	SOFTWARE[776]
14-176	2864-2868	This	*[776]	SOFTWARE[776]
14-177	2869-2879	repository	*[776]	SOFTWARE[776]
14-178	2880-2882	is	*[776]	SOFTWARE[776]
14-179	2883-2895	MIT-licensed	*[776]	SOFTWARE[776]
14-179	2883-2886	MIT	*[776]	SOFTWARE[776]
14-180	2895-2896	.	*[776]	SOFTWARE[776]
