#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Thermometer: Towards Universal Calibration for Large Language Models #### This repository contains official implementation of the paper \[Thermometer: Towards Universal Calibration for Large Language Models\](https://arxiv.org/abs/2403.08819).  ## Requirements ```bash pip install torch==2.2.1 transformers==4.28.1 evaluate==0.4.1 tqdm pandas ``` ## File Structure #### \*src\* folder includes all the source code for the experiments. - ### \*configs\* folder:      includes all the information of training configurations and model hyper-parameter. - ### \*data\* folder:     includes the dataloader to load and process the datasets. - ### other code files:   - \*process\_mrqa.py\* pre-process the raw data in free-form QA datasets MRQA\;    - \*extract\_features.py\* aims to extract labels, features, and logits from pretrained LLMs\;   - \*train\_thermometer.py\* and \*eval\_thermometer.py\* contain the main function to train Thermometer,   and the functions to evaluate calibration performance of trained Thermometer, respectively.   ## Usage #### We provide the scripts to help reproduce the results of our paper. - ### Step-1: extract the features and logits from pre-trained LLMs,     ```     exract.sh     ``` - ### Step-2: train Thermometer model,     ```     train.sh     ``` - ### Step-3: evaluate calibration of trained Thermometer model,     ```     eval.sh     ``` - ### Free-form QA task requires an additional step to pre-process the raw data, i.e., append the LLM's response to the prompts,     ```     mrqa.sh     ``` - ### Choose different types of LLMs,     ```     --model\_type decoder\_only --model\_name Llama-2-7b-chat-hf     --model\_type encoder\_decoder --model\_name flan-t5-xl     ```  ## Citation #### If you find this repository helpful for your research, please consider citing our paper,  ``` @InProceedings{pmlr-v235-shen24c,   title = {Thermometer: Towards Universal Calibration for Large Language Models},   author =  {Shen, Maohao and Das, Subhro and Greenewald, Kristjan and Sattigeri, Prasanna and Wornell, Gregory W. and Ghosh, Soumya},   booktitle = {Proceedings of the 41st International Conference on Machine Learning},   pages = {44687--44711},   year =  {2024},   editor =  {Salakhutdinov, Ruslan and Kolter, Zico and Heller, Katherine and Weller, Adrian and Oliver, Nuria and Scarlett, Jonathan and Berkenkamp, Felix},   volume =  {235},   series =  {Proceedings of Machine Learning Research},   month = {21--27 Jul},   publisher = {PMLR} } ```
1-1	0-1	#	*[523]|*[534]	SOFTWARE[523]|SOFTWARE[534]
1-423	2011-2014	and	*[534]	SOFTWARE[534]
1-424	2015-2022	Wornell	*[534]	SOFTWARE[534]
1-425	2022-2023	,	*[534]	SOFTWARE[534]
1-426	2024-2031	Gregory	*[534]	SOFTWARE[534]
1-427	2032-2033	W	*[534]	SOFTWARE[534]
1-428	2033-2034	.	*[534]	SOFTWARE[534]
1-429	2035-2038	and	*[534]	SOFTWARE[534]
1-430	2039-2044	Ghosh	*[534]	SOFTWARE[534]
1-431	2044-2045	,	*[534]	SOFTWARE[534]
1-432	2046-2052	Soumya	*[534]	SOFTWARE[534]
1-433	2052-2053	}	*[534]	SOFTWARE[534]
1-434	2053-2054	,	*[534]	SOFTWARE[534]
1-435	2057-2066	booktitle	*[534]	SOFTWARE[534]
1-436	2067-2068	=	*[534]	SOFTWARE[534]
1-437	2069-2070	{	*[534]	SOFTWARE[534]
1-438	2070-2081	Proceedings	*[534]	SOFTWARE[534]
1-439	2082-2084	of	*[534]	SOFTWARE[534]
1-440	2085-2088	the	*[534]	SOFTWARE[534]
1-441	2089-2093	41st	*[534]	SOFTWARE[534]
1-442	2094-2107	International	*[534]	SOFTWARE[534]
1-443	2108-2118	Conference	*[534]	SOFTWARE[534]
1-444	2119-2121	on	*[534]	SOFTWARE[534]
1-445	2122-2129	Machine	*[534]	SOFTWARE[534]
1-446	2130-2138	Learning	*[534]	SOFTWARE[534]
1-447	2138-2139	}	*[534]	SOFTWARE[534]
1-448	2139-2140	,	*[534]	SOFTWARE[534]
1-449	2143-2148	pages	*[534]	SOFTWARE[534]
1-450	2149-2150	=	*[534]	SOFTWARE[534]
1-451	2151-2152	{	*[534]	SOFTWARE[534]
1-452	2152-2157	44687	*[534]	SOFTWARE[534]
1-453	2157-2158	-	*[534]	SOFTWARE[534]
1-454	2158-2159	-	*[534]	SOFTWARE[534]
1-455	2159-2164	44711	*[534]	SOFTWARE[534]
1-456	2164-2165	}	*[534]	SOFTWARE[534]
1-457	2165-2166	,	*[534]	SOFTWARE[534]
1-458	2169-2173	year	*[534]	SOFTWARE[534]
1-459	2174-2175	=	*[534]	SOFTWARE[534]
1-460	2177-2178	{	*[534]	SOFTWARE[534]
1-461	2178-2182	2024	*[534]	SOFTWARE[534]
1-462	2182-2183	}	*[534]	SOFTWARE[534]
1-463	2183-2184	,	*[534]	SOFTWARE[534]
1-464	2187-2193	editor	*[534]	SOFTWARE[534]
1-465	2194-2195	=	*[534]	SOFTWARE[534]
1-466	2197-2198	{	*[534]	SOFTWARE[534]
1-467	2198-2211	Salakhutdinov	*[534]	SOFTWARE[534]
1-468	2211-2212	,	*[534]	SOFTWARE[534]
1-469	2213-2219	Ruslan	*[534]	SOFTWARE[534]
1-470	2220-2223	and	*[534]	SOFTWARE[534]
1-471	2224-2230	Kolter	*[534]	SOFTWARE[534]
1-472	2230-2231	,	*[534]	SOFTWARE[534]
1-473	2232-2236	Zico	*[534]	SOFTWARE[534]
1-474	2237-2240	and	*[534]	SOFTWARE[534]
1-475	2241-2247	Heller	*[534]	SOFTWARE[534]
1-476	2247-2248	,	*[534]	SOFTWARE[534]
1-477	2249-2258	Katherine	*[534]	SOFTWARE[534]
1-478	2259-2262	and	*[534]	SOFTWARE[534]
1-479	2263-2269	Weller	*[534]	SOFTWARE[534]
1-480	2269-2270	,	*[534]	SOFTWARE[534]
1-481	2271-2277	Adrian	*[534]	SOFTWARE[534]
1-482	2278-2281	and	*[534]	SOFTWARE[534]
1-483	2282-2288	Oliver	*[534]	SOFTWARE[534]
1-484	2288-2289	,	*[534]	SOFTWARE[534]
1-485	2290-2295	Nuria	*[534]	SOFTWARE[534]
1-486	2296-2299	and	*[534]	SOFTWARE[534]
1-487	2300-2308	Scarlett	*[534]	SOFTWARE[534]
1-488	2308-2309	,	*[534]	SOFTWARE[534]
1-489	2310-2318	Jonathan	*[534]	SOFTWARE[534]
1-490	2319-2322	and	*[534]	SOFTWARE[534]
1-491	2323-2333	Berkenkamp	*[534]	SOFTWARE[534]
1-492	2333-2334	,	*[534]	SOFTWARE[534]
1-493	2335-2340	Felix	*[534]	SOFTWARE[534]
1-494	2340-2341	}	*[534]	SOFTWARE[534]
1-495	2341-2342	,	*[534]	SOFTWARE[534]
1-496	2345-2351	volume	*[534]	SOFTWARE[534]
1-497	2352-2353	=	*[534]	SOFTWARE[534]
1-498	2355-2356	{	*[534]	SOFTWARE[534]
1-499	2356-2359	235	*[534]	SOFTWARE[534]
1-500	2359-2360	}	*[534]	SOFTWARE[534]
1-501	2360-2361	,	*[534]	SOFTWARE[534]
1-502	2364-2370	series	*[534]	SOFTWARE[534]
1-503	2371-2372	=	*[534]	SOFTWARE[534]
1-504	2374-2375	{	*[534]	SOFTWARE[534]
1-505	2375-2386	Proceedings	*[534]	SOFTWARE[534]
1-506	2387-2389	of	*[534]	SOFTWARE[534]
1-507	2390-2397	Machine	*[534]	SOFTWARE[534]
1-508	2398-2406	Learning	*[534]	SOFTWARE[534]
1-509	2407-2415	Research	*[534]	SOFTWARE[534]
1-510	2415-2416	}	*[534]	SOFTWARE[534]
1-511	2416-2417	,	*[534]	SOFTWARE[534]
1-512	2420-2425	month	*[534]	SOFTWARE[534]
1-513	2426-2427	=	*[534]	SOFTWARE[534]
1-514	2428-2429	{	*[534]	SOFTWARE[534]
1-515	2429-2431	21	*[534]	SOFTWARE[534]
1-516	2431-2432	-	*[534]	SOFTWARE[534]
1-517	2432-2433	-	*[534]	SOFTWARE[534]
1-518	2433-2435	27	*[534]	SOFTWARE[534]
1-519	2436-2439	Jul	*[534]	SOFTWARE[534]
1-520	2439-2440	}	*[534]	SOFTWARE[534]
1-521	2440-2441	,	*[534]	SOFTWARE[534]
1-522	2444-2453	publisher	*[534]	SOFTWARE[534]
1-523	2454-2455	=	*[534]	SOFTWARE[534]
1-524	2456-2457	{	*[534]	SOFTWARE[534]
1-525	2457-2461	PMLR	*[534]	SOFTWARE[534]
1-526	2461-2462	}	*[534]	SOFTWARE[534]
1-527	2463-2464	}	*[534]	SOFTWARE[534]
1-528	2465-2466	`	*[534]	SOFTWARE[534]
1-529	2466-2467	`	*[534]	SOFTWARE[534]
1-530	2467-2468	`	*[534]	SOFTWARE[534]
