#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<h1 align="center">PFHedge: Deep Hedging in PyTorch</h1>  \[!
1-1	0-1	<	*[523]|*[788]	SOFTWARE[523]|SOFTWARE[788]
16-11	1732-1735	and	*[788]	SOFTWARE[788]
16-12	1736-1743	thereby	*[788]	SOFTWARE[788]
16-13	1744-1749	makes	*[788]	SOFTWARE[788]
16-14	1750-1757	hedging	*[788]	SOFTWARE[788]
16-15	1758-1770	optimization	*[788]	SOFTWARE[788]
16-16	1771-1775	much	*[788]	SOFTWARE[788]
16-17	1776-1780	more	*[788]	SOFTWARE[788]
16-18	1781-1792	challenging	*[788]	SOFTWARE[788]
16-19	1792-1793	.	*[788]	SOFTWARE[788]

#Text=Since the analytic formulas (such as the \[Black-Scholes formula\](https://en.wikipedia.org/wiki/Black%E2%80%93Scholes\_model#Black%E2%80%93Scholes\_formula)) are no longer available in such a market, it may be necessary to adjust model-based Greeks to hedge and price derivatives based on experiences.
17-1	1794-1799	Since	*[788]	SOFTWARE[788]
17-2	1800-1803	the	*[788]	SOFTWARE[788]
17-3	1804-1812	analytic	*[788]	SOFTWARE[788]
17-4	1813-1821	formulas	*[788]	SOFTWARE[788]
17-5	1822-1823	(	*[788]	SOFTWARE[788]
17-6	1823-1827	such	*[788]	SOFTWARE[788]
17-7	1828-1830	as	*[788]	SOFTWARE[788]
17-8	1831-1834	the	*[788]	SOFTWARE[788]
17-9	1835-1836	\[	*[788]	SOFTWARE[788]
17-10	1836-1849	Black-Scholes	*[788]	SOFTWARE[788]
17-11	1850-1857	formula	*[788]	SOFTWARE[788]
17-12	1857-1858	\]	*[788]	SOFTWARE[788]
17-13	1858-1859	(	*[788]	SOFTWARE[788]
17-14	1859-1864	https	*[788]	SOFTWARE[788]
17-15	1864-1865	:	*[788]	SOFTWARE[788]
17-16	1865-1866	/	*[788]	SOFTWARE[788]
17-17	1866-1867	/	*[788]	SOFTWARE[788]
17-18	1867-1883	en.wikipedia.org	*[788]	SOFTWARE[788]
17-19	1883-1884	/	*[788]	SOFTWARE[788]
17-20	1884-1888	wiki	*[788]	SOFTWARE[788]
17-21	1888-1889	/	*[788]	SOFTWARE[788]
17-22	1889-1894	Black	*[788]	SOFTWARE[788]
17-23	1894-1895	%	*[788]	SOFTWARE[788]
17-24	1895-1898	E2%	*[788]	SOFTWARE[788]
17-25	1898-1901	80%	*[788]	SOFTWARE[788]
17-26	1901-1916	93Scholes\_model	*[788]	SOFTWARE[788]
17-27	1916-1917	#	*[788]	SOFTWARE[788]
17-28	1917-1922	Black	*[788]	SOFTWARE[788]
17-29	1922-1923	%	*[788]	SOFTWARE[788]
17-30	1923-1926	E2%	*[788]	SOFTWARE[788]
17-31	1926-1929	80%	*[788]	SOFTWARE[788]
17-32	1929-1946	93Scholes\_formula	*[788]	SOFTWARE[788]
17-33	1946-1947	)	*[788]	SOFTWARE[788]
17-34	1947-1948	)	*[788]	SOFTWARE[788]
17-35	1949-1952	are	*[788]	SOFTWARE[788]
17-36	1953-1955	no	*[788]	SOFTWARE[788]
17-37	1956-1962	longer	*[788]	SOFTWARE[788]
17-38	1963-1972	available	*[788]	SOFTWARE[788]
17-39	1973-1975	in	*[788]	SOFTWARE[788]
17-40	1976-1980	such	*[788]	SOFTWARE[788]
17-41	1981-1982	a	*[788]	SOFTWARE[788]
17-42	1983-1989	market	*[788]	SOFTWARE[788]
17-43	1989-1990	,	*[788]	SOFTWARE[788]
17-44	1991-1993	it	*[788]	SOFTWARE[788]
17-45	1994-1997	may	*[788]	SOFTWARE[788]
17-46	1998-2000	be	*[788]	SOFTWARE[788]
17-47	2001-2010	necessary	*[788]	SOFTWARE[788]
17-48	2011-2013	to	*[788]	SOFTWARE[788]
17-49	2014-2020	adjust	*[788]	SOFTWARE[788]
17-50	2021-2032	model-based	*[788]	SOFTWARE[788]
17-51	2033-2039	Greeks	*[788]	SOFTWARE[788]
17-52	2040-2042	to	*[788]	SOFTWARE[788]
17-53	2043-2048	hedge	*[788]	SOFTWARE[788]
17-54	2049-2052	and	*[788]	SOFTWARE[788]
17-55	2053-2058	price	*[788]	SOFTWARE[788]
17-56	2059-2070	derivatives	*[788]	SOFTWARE[788]
17-57	2071-2076	based	*[788]	SOFTWARE[788]
17-58	2077-2079	on	*[788]	SOFTWARE[788]
17-59	2080-2091	experiences	*[788]	SOFTWARE[788]
17-60	2091-2092	.	*[788]	SOFTWARE[788]

#Text=\[Deep Hedging\]\[deep-hedging-arxiv\] is a ground-breaking framework to optimize such hedging operations.
18-1	2094-2095	\[	*[788]	SOFTWARE[788]
18-2	2095-2099	Deep	*[788]	SOFTWARE[788]
18-3	2100-2107	Hedging	*[788]	SOFTWARE[788]
18-4	2107-2108	\]	*[788]	SOFTWARE[788]
18-5	2108-2109	\[	*[788]	SOFTWARE[788]
18-6	2109-2127	deep-hedging-arxiv	*[788]	SOFTWARE[788]
18-7	2127-2128	\]	*[788]	SOFTWARE[788]
18-8	2129-2131	is	*[788]	SOFTWARE[788]
18-9	2132-2133	a	*[788]	SOFTWARE[788]
18-10	2134-2149	ground-breaking	*[788]	SOFTWARE[788]
18-11	2150-2159	framework	*[788]	SOFTWARE[788]
18-12	2160-2162	to	*[788]	SOFTWARE[788]
18-13	2163-2171	optimize	*[788]	SOFTWARE[788]
18-14	2172-2176	such	*[788]	SOFTWARE[788]
18-15	2177-2184	hedging	*[788]	SOFTWARE[788]
18-16	2185-2195	operations	*[788]	SOFTWARE[788]
18-17	2195-2196	.	*[788]	SOFTWARE[788]

#Text=In this framework, a neural network is trained to hedge derivatives so that it minimizes a proper \[risk measure\](https://en.wikipedia.org/wiki/Risk\_measure).
19-1	2197-2199	In	*[788]	SOFTWARE[788]
19-2	2200-2204	this	*[788]	SOFTWARE[788]
19-3	2205-2214	framework	*[788]	SOFTWARE[788]
19-4	2214-2215	,	*[788]	SOFTWARE[788]
19-5	2216-2217	a	*[788]	SOFTWARE[788]
19-6	2218-2224	neural	*[788]	SOFTWARE[788]
19-7	2225-2232	network	*[788]	SOFTWARE[788]
19-8	2233-2235	is	*[788]	SOFTWARE[788]
19-9	2236-2243	trained	*[788]	SOFTWARE[788]
19-10	2244-2246	to	*[788]	SOFTWARE[788]
19-11	2247-2252	hedge	*[788]	SOFTWARE[788]
19-12	2253-2264	derivatives	*[788]	SOFTWARE[788]
19-13	2265-2267	so	*[788]	SOFTWARE[788]
19-14	2268-2272	that	*[788]	SOFTWARE[788]
19-15	2273-2275	it	*[788]	SOFTWARE[788]
19-16	2276-2285	minimizes	*[788]	SOFTWARE[788]
19-17	2286-2287	a	*[788]	SOFTWARE[788]
19-18	2288-2294	proper	*[788]	SOFTWARE[788]
19-19	2295-2296	\[	*[788]	SOFTWARE[788]
19-20	2296-2300	risk	*[788]	SOFTWARE[788]
19-21	2301-2308	measure	*[788]	SOFTWARE[788]
19-22	2308-2309	\]	*[788]	SOFTWARE[788]
19-23	2309-2310	(	*[788]	SOFTWARE[788]
19-24	2310-2315	https	*[788]	SOFTWARE[788]
19-25	2315-2316	:	*[788]	SOFTWARE[788]
19-26	2316-2317	/	*[788]	SOFTWARE[788]
19-27	2317-2318	/	*[788]	SOFTWARE[788]
19-28	2318-2334	en.wikipedia.org	*[788]	SOFTWARE[788]
19-29	2334-2335	/	*[788]	SOFTWARE[788]
19-30	2335-2339	wiki	*[788]	SOFTWARE[788]
19-31	2339-2340	/	*[788]	SOFTWARE[788]
19-32	2340-2352	Risk\_measure	*[788]	SOFTWARE[788]
19-33	2352-2353	)	*[788]	SOFTWARE[788]
19-34	2353-2354	.	*[788]	SOFTWARE[788]

#Text=By virtue of the high representability of a neural network and modern optimization algorithms, one can expect to achieve the optimal hedge by training a neural network.
20-1	2355-2357	By	*[788]	SOFTWARE[788]
20-2	2358-2364	virtue	*[788]	SOFTWARE[788]
20-3	2365-2367	of	*[788]	SOFTWARE[788]
20-4	2368-2371	the	*[788]	SOFTWARE[788]
20-5	2372-2376	high	*[788]	SOFTWARE[788]
20-6	2377-2393	representability	*[788]	SOFTWARE[788]
20-7	2394-2396	of	*[788]	SOFTWARE[788]
20-8	2397-2398	a	*[788]	SOFTWARE[788]
20-9	2399-2405	neural	*[788]	SOFTWARE[788]
20-10	2406-2413	network	*[788]	SOFTWARE[788]
20-11	2414-2417	and	*[788]	SOFTWARE[788]
20-12	2418-2424	modern	*[788]	SOFTWARE[788]
20-13	2425-2437	optimization	*[788]	SOFTWARE[788]
20-14	2438-2448	algorithms	*[788]	SOFTWARE[788]
20-15	2448-2449	,	*[788]	SOFTWARE[788]
20-16	2450-2453	one	*[788]	SOFTWARE[788]
20-17	2454-2457	can	*[788]	SOFTWARE[788]
20-18	2458-2464	expect	*[788]	SOFTWARE[788]
20-19	2465-2467	to	*[788]	SOFTWARE[788]
20-20	2468-2475	achieve	*[788]	SOFTWARE[788]
20-21	2476-2479	the	*[788]	SOFTWARE[788]
20-22	2480-2487	optimal	*[788]	SOFTWARE[788]
20-23	2488-2493	hedge	*[788]	SOFTWARE[788]
20-24	2494-2496	by	*[788]	SOFTWARE[788]
20-25	2497-2505	training	*[788]	SOFTWARE[788]
20-26	2506-2507	a	*[788]	SOFTWARE[788]
20-27	2508-2514	neural	*[788]	SOFTWARE[788]
20-28	2515-2522	network	*[788]	SOFTWARE[788]
20-29	2522-2523	.	*[788]	SOFTWARE[788]

#Text=Indeed, the experiments in \[Bühler \*et al.\* 18\]\[deep-hedging-qf\] and \[Imaki \*et al.\* 21\]\[ntb-network-arxiv\] show high feasibility and scalability of Deep Hedging algorithms for options under transaction costs.
21-1	2524-2530	Indeed	*[788]	SOFTWARE[788]
21-2	2530-2531	,	*[788]	SOFTWARE[788]
21-3	2532-2535	the	*[788]	SOFTWARE[788]
21-4	2536-2547	experiments	*[788]	SOFTWARE[788]
21-5	2548-2550	in	*[788]	SOFTWARE[788]
21-6	2551-2552	\[	*[788]	SOFTWARE[788]
21-7	2552-2558	Bühler	*[788]	SOFTWARE[788]
21-8	2559-2560	\*	*[788]	SOFTWARE[788]
21-9	2560-2562	et	*[788]	SOFTWARE[788]
21-10	2563-2565	al	*[788]	SOFTWARE[788]
21-11	2565-2566	.	*[788]	SOFTWARE[788]
21-12	2566-2567	\*	*[788]	SOFTWARE[788]
21-13	2568-2570	18	*[788]	SOFTWARE[788]
21-14	2570-2571	\]	*[788]	SOFTWARE[788]
21-15	2571-2572	\[	*[788]	SOFTWARE[788]
21-16	2572-2587	deep-hedging-qf	*[788]	SOFTWARE[788]
21-17	2587-2588	\]	*[788]	SOFTWARE[788]
21-18	2589-2592	and	*[788]	SOFTWARE[788]
21-19	2593-2594	\[	*[788]	SOFTWARE[788]
21-20	2594-2599	Imaki	*[788]	SOFTWARE[788]
21-21	2600-2601	\*	*[788]	SOFTWARE[788]
21-22	2601-2603	et	*[788]	SOFTWARE[788]
21-23	2604-2606	al	*[788]	SOFTWARE[788]
21-24	2606-2607	.	*[788]	SOFTWARE[788]
21-25	2607-2608	\*	*[788]	SOFTWARE[788]
21-26	2609-2611	21	*[788]	SOFTWARE[788]
21-27	2611-2612	\]	*[788]	SOFTWARE[788]
21-28	2612-2613	\[	*[788]	SOFTWARE[788]
21-29	2613-2630	ntb-network-arxiv	*[788]	SOFTWARE[788]
21-30	2630-2631	\]	*[788]	SOFTWARE[788]
21-31	2632-2636	show	*[788]	SOFTWARE[788]
21-32	2637-2641	high	*[788]	SOFTWARE[788]
21-33	2642-2653	feasibility	*[788]	SOFTWARE[788]
21-34	2654-2657	and	*[788]	SOFTWARE[788]
21-35	2658-2669	scalability	*[788]	SOFTWARE[788]
21-36	2670-2672	of	*[788]	SOFTWARE[788]
21-37	2673-2677	Deep	*[788]	SOFTWARE[788]
21-38	2678-2685	Hedging	*[788]	SOFTWARE[788]
21-39	2686-2696	algorithms	*[788]	SOFTWARE[788]
21-40	2697-2700	for	*[788]	SOFTWARE[788]
21-41	2701-2708	options	*[788]	SOFTWARE[788]
21-42	2709-2714	under	*[788]	SOFTWARE[788]
21-43	2715-2726	transaction	*[788]	SOFTWARE[788]
21-44	2727-2732	costs	*[788]	SOFTWARE[788]
21-45	2732-2733	.	*[788]	SOFTWARE[788]

#Text=Global investment banks are looking to \[rethink the Greeks-based hedging\](https://www.risk.net/derivatives/6875321/deep-hedging-and-the-end-of-the-black-scholes-era) with Deep Hedging and \[slash considerable amount of hedging costs\](https://www.risk.net/derivatives/6691696/jp-morgan-turns-to-machine-learning-for-options-hedging).
22-1	2735-2741	Global	*[788]	SOFTWARE[788]
22-2	2742-2752	investment	*[788]	SOFTWARE[788]
22-3	2753-2758	banks	*[788]	SOFTWARE[788]
22-4	2759-2762	are	*[788]	SOFTWARE[788]
22-5	2763-2770	looking	*[788]	SOFTWARE[788]
22-6	2771-2773	to	*[788]	SOFTWARE[788]
22-7	2774-2775	\[	*[788]	SOFTWARE[788]
22-8	2775-2782	rethink	*[788]	SOFTWARE[788]
22-9	2783-2786	the	*[788]	SOFTWARE[788]
22-10	2787-2799	Greeks-based	*[788]	SOFTWARE[788]
22-11	2800-2807	hedging	*[788]	SOFTWARE[788]
22-12	2807-2808	\]	*[788]	SOFTWARE[788]
22-13	2808-2809	(	*[788]	SOFTWARE[788]
22-14	2809-2814	https	*[788]	SOFTWARE[788]
22-15	2814-2815	:	*[788]	SOFTWARE[788]
22-16	2815-2816	/	*[788]	SOFTWARE[788]
22-17	2816-2817	/	*[788]	SOFTWARE[788]
22-18	2817-2829	www.risk.net	*[788]	SOFTWARE[788]
22-19	2829-2830	/	*[788]	SOFTWARE[788]
22-20	2830-2841	derivatives	*[788]	SOFTWARE[788]
22-21	2841-2842	/	*[788]	SOFTWARE[788]
22-22	2842-2849	6875321	*[788]	SOFTWARE[788]
22-23	2849-2850	/	*[788]	SOFTWARE[788]
22-24	2850-2899	deep-hedging-and-the-end-of-the-black-scholes-era	*[788]	SOFTWARE[788]
22-25	2899-2900	)	*[788]	SOFTWARE[788]
22-26	2901-2905	with	*[788]	SOFTWARE[788]
22-27	2906-2910	Deep	*[788]	SOFTWARE[788]
22-28	2911-2918	Hedging	*[788]	SOFTWARE[788]
22-29	2919-2922	and	*[788]	SOFTWARE[788]
22-30	2923-2924	\[	*[788]	SOFTWARE[788]
22-31	2924-2929	slash	*[788]	SOFTWARE[788]
22-32	2930-2942	considerable	*[788]	SOFTWARE[788]
22-33	2943-2949	amount	*[788]	SOFTWARE[788]
22-34	2950-2952	of	*[788]	SOFTWARE[788]
22-35	2953-2960	hedging	*[788]	SOFTWARE[788]
22-36	2961-2966	costs	*[788]	SOFTWARE[788]
22-37	2966-2967	\]	*[788]	SOFTWARE[788]
22-38	2967-2968	(	*[788]	SOFTWARE[788]
22-39	2968-2973	https	*[788]	SOFTWARE[788]
22-40	2973-2974	:	*[788]	SOFTWARE[788]
22-41	2974-2975	/	*[788]	SOFTWARE[788]
22-42	2975-2976	/	*[788]	SOFTWARE[788]
22-43	2976-2988	www.risk.net	*[788]	SOFTWARE[788]
22-44	2988-2989	/	*[788]	SOFTWARE[788]
22-45	2989-3000	derivatives	*[788]	SOFTWARE[788]
22-46	3000-3001	/	*[788]	SOFTWARE[788]
22-47	3001-3008	6691696	*[788]	SOFTWARE[788]
22-48	3008-3009	/	*[788]	SOFTWARE[788]
22-49	3009-3064	jp-morgan-turns-to-machine-learning-for-options-hedging	*[788]	SOFTWARE[788]
22-50	3064-3065	)	*[788]	SOFTWARE[788]
22-51	3065-3066	.	*[788]	SOFTWARE[788]

#Text=This could be the "game-changer" in the trillion-dollar industry of derivatives.
23-1	3067-3071	This	*[788]	SOFTWARE[788]
23-2	3072-3077	could	*[788]	SOFTWARE[788]
23-3	3078-3080	be	*[788]	SOFTWARE[788]
23-4	3081-3084	the	*[788]	SOFTWARE[788]
23-5	3085-3086	"	*[788]	SOFTWARE[788]
23-6	3086-3098	game-changer	*[788]	SOFTWARE[788]
23-7	3098-3099	"	*[788]	SOFTWARE[788]
23-8	3100-3102	in	*[788]	SOFTWARE[788]
23-9	3103-3106	the	*[788]	SOFTWARE[788]
23-10	3107-3122	trillion-dollar	*[788]	SOFTWARE[788]
23-11	3123-3131	industry	*[788]	SOFTWARE[788]
23-12	3132-3134	of	*[788]	SOFTWARE[788]
23-13	3135-3146	derivatives	*[788]	SOFTWARE[788]
23-14	3146-3147	.	*[788]	SOFTWARE[788]

#Text=PFHedge enables you to experience this revolutionary framework on your own.
24-1	3149-3156	PFHedge	*[788]	SOFTWARE[788]
24-2	3157-3164	enables	*[788]	SOFTWARE[788]
24-3	3165-3168	you	*[788]	SOFTWARE[788]
24-4	3169-3171	to	*[788]	SOFTWARE[788]
24-5	3172-3182	experience	*[788]	SOFTWARE[788]
24-6	3183-3187	this	*[788]	SOFTWARE[788]
24-7	3188-3201	revolutionary	*[788]	SOFTWARE[788]
24-8	3202-3211	framework	*[788]	SOFTWARE[788]
24-9	3212-3214	on	*[788]	SOFTWARE[788]
24-10	3215-3219	your	*[788]	SOFTWARE[788]
24-11	3220-3223	own	*[788]	SOFTWARE[788]
24-12	3223-3224	.	*[788]	SOFTWARE[788]

#Text=You can try, tweak, and delve into Deep Hedging algorithms using PyTorch.
25-1	3225-3228	You	*[788]	SOFTWARE[788]
25-2	3229-3232	can	*[788]	SOFTWARE[788]
25-3	3233-3236	try	*[788]	SOFTWARE[788]
25-4	3236-3237	,	*[788]	SOFTWARE[788]
25-5	3238-3243	tweak	*[788]	SOFTWARE[788]
25-6	3243-3244	,	*[788]	SOFTWARE[788]
25-7	3245-3248	and	*[788]	SOFTWARE[788]
25-8	3249-3254	delve	*[788]	SOFTWARE[788]
25-9	3255-3259	into	*[788]	SOFTWARE[788]
25-10	3260-3264	Deep	*[788]	SOFTWARE[788]
25-11	3265-3272	Hedging	*[788]	SOFTWARE[788]
25-12	3273-3283	algorithms	*[788]	SOFTWARE[788]
25-13	3284-3289	using	*[788]	SOFTWARE[788]
25-14	3290-3297	PyTorch	*[788]	SOFTWARE[788]
25-15	3297-3298	.	*[788]	SOFTWARE[788]

#Text=We hope PFHedge accelerates the research and development of Deep Hedging.  ## Features  ### Imperative Experiences  \* PFHedge is designed to be intuitive and imperative to streamline your research on Deep Hedging. \* You can quickly build a `Hedger` and then `fit` and `price` derivatives right away. \* You can easily tweak your model, risk measure, derivative, optimizer, and other setups on the fly.  ### Seamless Integration with \[PyTorch\](https://pytorch.org/)  \* PFHedge is built to be deeply integrated into \[PyTorch\](https://pytorch.org/). \* Your Deep-Hedger can be built as a \[`Module`\](https://pytorch.org/docs/stable/generated/torch.nn.Module.html) and trained by any \[`Optimizer`\](https://pytorch.org/docs/stable/optim.html). \* You can use GPUs to boost your hedging optimization (See below).  ### Effortless Extensions  \* You can build new hedging models, derivatives, and features with little glue code. \* You can build new hedging models by just subclassing \[`Module`\](https://pytorch.org/docs/stable/generated/torch.nn.Module.html). \* You can quickly try out your own stochastic processes, derivatives, and input features.  ### Batteries Included  \* PFHedge provides useful \[`Module`\](https://pytorch.org/docs/stable/generated/torch.nn.Module.html)s for Deep Hedging in \[`pfhedge.nn`\](https://pfnet-research.github.io/pfhedge/nn.html). \* You can create \[Black-Scholes' delta-hedging\](https://en.wikipedia.org/wiki/Delta\_neutral), \[Whalley-Wilmott's strategy\]\[whalley-wilmott\], and so forth. \* Common risk measures such as \[an entropic risk measure\](https://en.wikipedia.org/wiki/Entropic\_risk\_measure) and \[an expected shortfall\](https://en.wikipedia.org/wiki/Expected\_shortfall) are available.  ## Install  ```sh pip install pfhedge ```  ## How to Use  \[!
26-1	3299-3301	We	*[788]	SOFTWARE[788]
26-2	3302-3306	hope	*[788]	SOFTWARE[788]
26-3	3307-3314	PFHedge	*[788]	SOFTWARE[788]
26-4	3315-3326	accelerates	*[788]	SOFTWARE[788]
26-5	3327-3330	the	*[788]	SOFTWARE[788]
26-6	3331-3339	research	*[788]	SOFTWARE[788]
26-7	3340-3343	and	*[788]	SOFTWARE[788]
26-8	3344-3355	development	*[788]	SOFTWARE[788]
26-9	3356-3358	of	*[788]	SOFTWARE[788]
26-10	3359-3363	Deep	*[788]	SOFTWARE[788]
26-11	3364-3371	Hedging	*[788]	SOFTWARE[788]
26-12	3371-3372	.	*[788]	SOFTWARE[788]
26-13	3374-3375	#	*[788]	SOFTWARE[788]
26-14	3375-3376	#	*[788]	SOFTWARE[788]
26-15	3377-3385	Features	*[788]	SOFTWARE[788]
26-16	3387-3388	#	*[788]	SOFTWARE[788]
26-17	3388-3389	#	*[788]	SOFTWARE[788]
26-18	3389-3390	#	*[788]	SOFTWARE[788]
26-19	3391-3401	Imperative	*[788]	SOFTWARE[788]
26-20	3402-3413	Experiences	*[788]	SOFTWARE[788]
26-21	3415-3416	\*	*[788]	SOFTWARE[788]
26-22	3417-3424	PFHedge	*[788]	SOFTWARE[788]
26-23	3425-3427	is	*[788]	SOFTWARE[788]
26-24	3428-3436	designed	*[788]	SOFTWARE[788]
26-25	3437-3439	to	*[788]	SOFTWARE[788]
26-26	3440-3442	be	*[788]	SOFTWARE[788]
26-27	3443-3452	intuitive	*[788]	SOFTWARE[788]
26-28	3453-3456	and	*[788]	SOFTWARE[788]
26-29	3457-3467	imperative	*[788]	SOFTWARE[788]
26-30	3468-3470	to	*[788]	SOFTWARE[788]
26-31	3471-3481	streamline	*[788]	SOFTWARE[788]
26-32	3482-3486	your	*[788]	SOFTWARE[788]
26-33	3487-3495	research	*[788]	SOFTWARE[788]
26-34	3496-3498	on	*[788]	SOFTWARE[788]
26-35	3499-3503	Deep	*[788]	SOFTWARE[788]
26-36	3504-3511	Hedging	*[788]	SOFTWARE[788]
26-37	3511-3512	.	*[788]	SOFTWARE[788]
26-38	3513-3514	\*	*[788]	SOFTWARE[788]
26-39	3515-3518	You	*[788]	SOFTWARE[788]
26-40	3519-3522	can	*[788]	SOFTWARE[788]
26-41	3523-3530	quickly	*[788]	SOFTWARE[788]
26-42	3531-3536	build	*[788]	SOFTWARE[788]
26-43	3537-3538	a	*[788]	SOFTWARE[788]
26-44	3539-3540	`	*[788]	SOFTWARE[788]
26-45	3540-3546	Hedger	*[788]	SOFTWARE[788]
26-46	3546-3547	`	*[788]	SOFTWARE[788]
26-47	3548-3551	and	*[788]	SOFTWARE[788]
26-48	3552-3556	then	*[788]	SOFTWARE[788]
26-49	3557-3558	`	*[788]	SOFTWARE[788]
26-50	3558-3561	fit	*[788]	SOFTWARE[788]
26-51	3561-3562	`	*[788]	SOFTWARE[788]
26-52	3563-3566	and	*[788]	SOFTWARE[788]
26-53	3567-3568	`	*[788]	SOFTWARE[788]
26-54	3568-3573	price	*[788]	SOFTWARE[788]
26-55	3573-3574	`	*[788]	SOFTWARE[788]
26-56	3575-3586	derivatives	*[788]	SOFTWARE[788]
26-57	3587-3592	right	*[788]	SOFTWARE[788]
26-58	3593-3597	away	*[788]	SOFTWARE[788]
26-59	3597-3598	.	*[788]	SOFTWARE[788]
26-60	3599-3600	\*	*[788]	SOFTWARE[788]
26-61	3601-3604	You	*[788]	SOFTWARE[788]
26-62	3605-3608	can	*[788]	SOFTWARE[788]
26-63	3609-3615	easily	*[788]	SOFTWARE[788]
26-64	3616-3621	tweak	*[788]	SOFTWARE[788]
26-65	3622-3626	your	*[788]	SOFTWARE[788]
26-66	3627-3632	model	*[788]	SOFTWARE[788]
26-67	3632-3633	,	*[788]	SOFTWARE[788]
26-68	3634-3638	risk	*[788]	SOFTWARE[788]
26-69	3639-3646	measure	*[788]	SOFTWARE[788]
26-70	3646-3647	,	*[788]	SOFTWARE[788]
26-71	3648-3658	derivative	*[788]	SOFTWARE[788]
26-72	3658-3659	,	*[788]	SOFTWARE[788]
26-73	3660-3669	optimizer	*[788]	SOFTWARE[788]
26-74	3669-3670	,	*[788]	SOFTWARE[788]
26-75	3671-3674	and	*[788]	SOFTWARE[788]
26-76	3675-3680	other	*[788]	SOFTWARE[788]
26-77	3681-3687	setups	*[788]	SOFTWARE[788]
26-78	3688-3690	on	*[788]	SOFTWARE[788]
26-79	3691-3694	the	*[788]	SOFTWARE[788]
26-80	3695-3698	fly	*[788]	SOFTWARE[788]
26-81	3698-3699	.	*[788]	SOFTWARE[788]
26-82	3701-3702	#	*[788]	SOFTWARE[788]
26-83	3702-3703	#	*[788]	SOFTWARE[788]
26-84	3703-3704	#	*[788]	SOFTWARE[788]
26-85	3705-3713	Seamless	*[788]	SOFTWARE[788]
26-86	3714-3725	Integration	*[788]	SOFTWARE[788]
26-87	3726-3730	with	*[788]	SOFTWARE[788]
26-88	3731-3732	\[	*[788]	SOFTWARE[788]
26-89	3732-3739	PyTorch	*[788]	SOFTWARE[788]
26-90	3739-3740	\]	*[788]	SOFTWARE[788]
26-91	3740-3741	(	*[788]	SOFTWARE[788]
26-92	3741-3746	https	*[788]	SOFTWARE[788]
26-93	3746-3747	:	*[788]	SOFTWARE[788]
26-94	3747-3748	/	*[788]	SOFTWARE[788]
26-95	3748-3749	/	*[788]	SOFTWARE[788]
26-96	3749-3760	pytorch.org	*[788]	SOFTWARE[788]
26-96	3749-3756	pytorch	*[788]	SOFTWARE[788]
26-97	3760-3761	/	*[788]	SOFTWARE[788]
26-98	3761-3762	)	*[788]	SOFTWARE[788]
26-99	3764-3765	\*	*[788]	SOFTWARE[788]
26-100	3766-3773	PFHedge	*[788]	SOFTWARE[788]
26-101	3774-3776	is	*[788]	SOFTWARE[788]
26-102	3777-3782	built	*[788]	SOFTWARE[788]
26-103	3783-3785	to	*[788]	SOFTWARE[788]
26-104	3786-3788	be	*[788]	SOFTWARE[788]
26-105	3789-3795	deeply	*[788]	SOFTWARE[788]
26-106	3796-3806	integrated	*[788]	SOFTWARE[788]
26-107	3807-3811	into	*[788]	SOFTWARE[788]
26-108	3812-3813	\[	*[788]	SOFTWARE[788]
26-109	3813-3820	PyTorch	*[788]	SOFTWARE[788]
26-110	3820-3821	\]	*[788]	SOFTWARE[788]
26-111	3821-3822	(	*[788]	SOFTWARE[788]
26-112	3822-3827	https	*[788]	SOFTWARE[788]
26-113	3827-3828	:	*[788]	SOFTWARE[788]
26-114	3828-3829	/	*[788]	SOFTWARE[788]
26-115	3829-3830	/	*[788]	SOFTWARE[788]
26-116	3830-3841	pytorch.org	*[788]	SOFTWARE[788]
26-116	3830-3837	pytorch	*[788]	SOFTWARE[788]
26-117	3841-3842	/	*[788]	SOFTWARE[788]
26-118	3842-3843	)	*[788]	SOFTWARE[788]
26-119	3843-3844	.	*[788]	SOFTWARE[788]
26-120	3845-3846	\*	*[788]	SOFTWARE[788]
26-121	3847-3851	Your	*[788]	SOFTWARE[788]
26-122	3852-3863	Deep-Hedger	*[788]	SOFTWARE[788]
26-123	3864-3867	can	*[788]	SOFTWARE[788]
26-124	3868-3870	be	*[788]	SOFTWARE[788]
26-125	3871-3876	built	*[788]	SOFTWARE[788]
26-126	3877-3879	as	*[788]	SOFTWARE[788]
26-127	3880-3881	a	*[788]	SOFTWARE[788]
26-128	3882-3883	\[	*[788]	SOFTWARE[788]
26-129	3883-3884	`	*[788]	SOFTWARE[788]
26-130	3884-3890	Module	*[788]	SOFTWARE[788]
26-131	3890-3891	`	*[788]	SOFTWARE[788]
26-132	3891-3892	\]	*[788]	SOFTWARE[788]
26-133	3892-3893	(	*[788]	SOFTWARE[788]
26-134	3893-3898	https	*[788]	SOFTWARE[788]
26-135	3898-3899	:	*[788]	SOFTWARE[788]
26-136	3899-3900	/	*[788]	SOFTWARE[788]
26-137	3900-3901	/	*[788]	SOFTWARE[788]
26-138	3901-3912	pytorch.org	*[788]	SOFTWARE[788]
26-138	3901-3908	pytorch	*[788]	SOFTWARE[788]
