#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[507]|*[523]|*[534]	DATASET[507]|ONTOLOGY[507]|WORKSHOP[507]|PROJECT[507]|LICENSE[507]|PUBLICATION[507]|EVALMETRIC[507]|PROGLANG[507]|SOFTWARE[523]|CONFERENCE[534]
4-11	495-500	pages	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-12	500-501	.	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-13	502-507	https	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-14	507-508	:	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-15	508-509	/	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-16	509-510	/	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-17	510-517	doi.org	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-18	517-518	/	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-19	518-540	10.11453447548.3467334	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-20	542-543	#	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-21	543-544	#	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-22	545-557	Introduction	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-23	559-563	This	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-24	564-568	work	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-25	569-577	presents	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-26	578-579	a	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-27	580-590	generative	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-28	591-602	adversarial	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-29	603-608	graph	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-30	609-616	network	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-31	617-622	model	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-32	622-623	,	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-33	624-630	called	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-34	631-637	ImGAGN	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-35	638-640	to	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-36	641-648	address	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-37	649-652	the	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-38	653-663	imbalanced	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-39	664-678	classification	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-40	679-686	problem	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-41	687-689	on	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-42	690-696	graphs	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]
4-43	696-697	.	*[511]|*[527]	WORKSHOP[511]|LICENSE[511]|PUBLICATION[511]|PROJECT[511]|EVALMETRIC[511]|CONFERENCE[511]|DATASET[511]|PROGLANG[511]|ONTOLOGY[511]|SOFTWARE[527]

#Text=It introduces a novel generator for graph structure data, named \*\*GraphGenerator\*\*, which can simulate both the minority class nodes’ attribute distribution and network topological structure distribution by generating a set of synthetic minority nodes such that the number of nodes in different classes can be balanced.   ## Requirements  + PyTorch >= 0.4  + Python >= 3.6  ## Usage  ### Dataset  The datasets can be downloaded from \[Cora\](https://relational.fit.cvut.cz/dataset/CORA), \[Citeseer\](https://linqs.soe.ucsc.edu/data), \[Pubmed\](https://linqs.soe.ucsc.edu/data) and \[DBLP\](https://www.aminer.cn/citation#b541).
5-1	698-700	It	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-2	701-711	introduces	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-3	712-713	a	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-4	714-719	novel	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-5	720-729	generator	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-6	730-733	for	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-7	734-739	graph	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-8	740-749	structure	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-9	750-754	data	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-10	754-755	,	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-11	756-761	named	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-12	762-763	\*	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-13	763-764	\*	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-14	764-778	GraphGenerator	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-15	778-779	\*	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-16	779-780	\*	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-17	780-781	,	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-18	782-787	which	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-19	788-791	can	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-20	792-800	simulate	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-21	801-805	both	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-22	806-809	the	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-23	810-818	minority	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-24	819-824	class	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-25	825-830	nodes	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-26	830-831	’	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-27	832-841	attribute	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-28	842-854	distribution	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-29	855-858	and	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-30	859-866	network	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-31	867-878	topological	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-32	879-888	structure	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-33	889-901	distribution	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-34	902-904	by	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-35	905-915	generating	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-36	916-917	a	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-37	918-921	set	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-38	922-924	of	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-39	925-934	synthetic	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-40	935-943	minority	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-41	944-949	nodes	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-42	950-954	such	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-43	955-959	that	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-44	960-963	the	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-45	964-970	number	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-46	971-973	of	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-47	974-979	nodes	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-48	980-982	in	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-49	983-992	different	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-50	993-1000	classes	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-51	1001-1004	can	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-52	1005-1007	be	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-53	1008-1016	balanced	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-54	1016-1017	.	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-55	1020-1021	#	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-56	1021-1022	#	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-57	1023-1035	Requirements	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-58	1037-1038	+	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-59	1039-1046	PyTorch	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-60	1047-1048	>	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-61	1048-1049	=	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-62	1050-1053	0.4	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-63	1055-1056	+	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-64	1057-1063	Python	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-65	1064-1065	>	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-66	1065-1066	=	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-67	1067-1070	3.6	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-68	1072-1073	#	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-69	1073-1074	#	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-70	1075-1080	Usage	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-71	1082-1083	#	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-72	1083-1084	#	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-73	1084-1085	#	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
5-74	1086-1093	Dataset	*[512]|*[528]	PUBLICATION[512]|EVALMETRIC[512]|PROGLANG[512]|DATASET[512]|CONFERENCE[512]|ONTOLOGY[512]|WORKSHOP[512]|PROJECT[512]|LICENSE[512]|SOFTWARE[528]
